Age,Temperature_C,Heart_Rate_BPM,Respiratory_Rate_BPM,Weight_Change_Percent,Food_Intake_Percent,Stool_Consistency,Activity_Level,Edema,Trunk_Moisture,Mucous_Membrane,Gait_Score,Health_Status,Diagnosis
19,37.3,53,23,-2.3,62,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
5,37.5,44,14,-1.5,41,Constipated,Low (Lethargic),None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
43,36.3,28,11,-0.6,93,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,36.3,34,6,-0.2,93,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
21,35.9,34,8,-0.3,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,36.0,32,12,0.2,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,37.5,58,19,-2.6,64,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
39,35.7,38,17,-1.5,44,Constipated,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
11,36.0,33,5,-0.6,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,35.9,30,5,0.1,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,35.9,47,9,-0.4,18,Constipated,Low (Lethargic),None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
30,36.0,25,8,0.2,96,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,35.6,34,9,0.1,78,Normal,Moderate,Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
48,38.7,52,20,-3.0,35,Loose,Low (Lethargic),Mild,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
8,36.6,31,11,-0.5,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,36.1,30,8,-0.5,97,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
27,36.1,29,6,-0.6,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
54,36.1,29,5,-0.9,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,35.7,36,14,0.1,86,Normal,Low (Lethargic),Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
57,37.6,49,19,-3.4,40,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
54,37.0,37,11,-0.6,89,Normal,Moderate,Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
7,35.9,32,6,-0.2,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
37,39.6,50,20,-1.6,30,Normal,Low (Lethargic),None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
56,36.4,34,9,0.4,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,35.5,43,17,-2.1,25,Constipated,High,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
49,40.5,59,18,-2.2,39,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
15,38.8,41,25,-1.8,47,Loose,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
53,36.7,39,11,-1.5,94,Normal,Moderate,Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
50,35.9,32,5,-0.1,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,36.0,45,12,-2.6,47,Constipated,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
43,36.0,47,15,-0.5,49,Constipated,Moderate,Mild,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
60,36.6,49,17,-2.5,67,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
56,36.7,25,5,-0.5,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,37.2,42,20,-1.5,16,Constipated,High,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
50,36.4,30,5,-0.1,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
33,36.4,30,9,0.7,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
17,36.2,26,6,-0.4,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
39,36.8,33,6,-0.2,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
34,36.6,40,16,-2.1,48,Constipated,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
19,36.1,26,8,0.8,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,38.6,53,20,-2.5,56,Loose,Low (Lethargic),Mild,Dry,Pale,Stiff,Infection,Bacterial/Viral Infection
23,36.4,31,8,0.8,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
48,36.6,31,9,-0.3,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
56,36.6,33,8,-0.4,76,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
57,36.2,26,8,-0.7,76,Normal,Low (Lethargic),Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
12,36.2,37,19,-1.1,33,Loose,High,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
2,37.2,36,14,-2.1,34,Loose,Moderate,Mild,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
15,39.9,57,30,-2.9,57,Loose,Low (Lethargic),Mild,Moist,Pink,Stiff,Infection,Bacterial/Viral Infection
33,38.5,48,24,-2.8,47,Normal,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
14,36.0,34,7,-0.2,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,36.7,38,7,-1.7,73,Normal,Moderate,Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
30,36.1,35,11,0.4,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
59,38.0,56,14,-3.0,41,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
51,35.6,28,14,-1.4,76,Normal,Moderate,Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
13,36.2,35,12,-0.8,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
17,36.4,30,11,-0.7,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,39.1,47,15,-1.4,51,Loose,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
60,36.4,25,7,-0.6,94,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
3,39.9,36,23,-1.9,38,Normal,Low (Lethargic),Mild,Dry,Pink,Stiff,Infection,Bacterial/Viral Infection
50,35.9,28,9,0.4,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
18,36.6,35,11,0.2,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
19,36.6,25,10,0.8,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,38.3,53,15,-3.0,50,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
15,36.8,47,25,-3.6,47,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
2,37.0,38,17,-0.1,38,Loose,Moderate,None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
59,39.5,36,20,-1.9,32,Loose,Low (Lethargic),Mild,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
7,37.5,45,14,-0.1,46,Constipated,High,Mild,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
39,36.4,26,10,-0.8,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,39.3,48,26,-1.3,49,Normal,Low (Lethargic),None,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
12,35.9,31,10,-0.2,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
27,36.6,32,5,0.8,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,35.9,33,10,1.0,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
22,36.3,30,12,0.6,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
56,36.5,34,8,1.0,96,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
54,36.8,30,11,-0.2,91,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
53,38.2,60,16,-2.9,50,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
44,36.1,27,7,-0.3,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,36.8,37,8,-0.8,46,Loose,Low (Lethargic),None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
42,38.0,49,24,-2.2,56,Normal,Low (Lethargic),None,Moist,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
42,36.4,36,10,-3.0,44,Constipated,High,Mild,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
16,38.3,50,17,-2.7,54,Loose,Low (Lethargic),None,Moist,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
53,36.9,37,6,-1.7,71,Normal,Moderate,Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
37,35.9,33,5,-0.5,96,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,35.5,33,10,-0.0,22,Constipated,High,None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
22,36.1,28,7,-0.5,93,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
15,36.1,32,6,0.4,87,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
39,35.9,31,11,0.1,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
53,36.5,31,5,-0.6,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
60,36.3,27,6,-0.6,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
38,35.5,30,11,-1.0,82,Normal,Low (Lethargic),Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
8,36.0,28,6,0.8,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
7,37.3,54,18,-3.2,46,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
45,36.0,36,12,-0.3,88,Normal,Moderate,Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
18,36.7,46,16,-2.2,20,Constipated,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
41,36.0,29,5,-0.9,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,36.2,27,6,0.9,97,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
30,37.1,45,19,-1.9,41,Constipated,Moderate,None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
14,38.2,55,19,-2.5,40,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
60,36.6,34,12,0.1,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,36.0,28,9,1.0,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
1,35.9,26,5,0.5,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
3,36.4,28,7,0.4,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
48,35.6,27,11,-1.4,84,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
59,36.9,35,14,0.2,95,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
36,36.9,41,15,-3.0,21,Constipated,High,None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
1,37.2,34,20,-0.8,29,Constipated,Moderate,Mild,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
10,38.2,56,21,-1.2,42,Normal,Low (Lethargic),None,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
46,36.2,34,5,0.3,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
54,36.6,29,8,-1.4,85,Normal,Moderate,Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
48,35.7,37,14,0.1,85,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
40,36.9,28,8,-1.0,90,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
24,35.9,35,6,0.1,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,37.8,49,16,-4.6,63,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
44,36.1,35,5,-0.3,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,38.0,56,19,-1.3,32,Loose,Low (Lethargic),Mild,Moist,Pink,Normal,Infection,Bacterial/Viral Infection
57,40.5,52,24,-2.2,41,Loose,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
40,36.7,25,8,-0.4,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
12,36.7,26,7,0.4,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
7,36.2,33,10,-0.2,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,36.3,33,12,-0.5,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
19,38.0,43,16,-2.7,55,Normal,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
21,36.8,46,14,-3.3,56,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
39,38.2,42,14,-3.2,49,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
21,36.3,29,9,0.7,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
13,36.3,29,7,0.1,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
56,37.5,31,16,-2.7,32,Loose,Low (Lethargic),None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
45,37.4,36,13,-2.0,27,Constipated,Low (Lethargic),None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
40,36.3,33,12,-0.7,85,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
7,35.9,25,7,0.6,91,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
37,37.2,51,18,-3.6,58,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
51,36.3,32,9,0.4,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,35.5,38,12,-0.2,90,Normal,Moderate,Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
20,36.1,29,8,0.8,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,35.6,32,8,-1.8,71,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
22,36.1,41,15,-2.7,46,Constipated,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
37,36.3,30,5,0.4,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,36.1,25,6,-0.8,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.7,26,6,-0.3,87,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,37.9,53,20,-3.1,43,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
11,36.9,37,19,-1.4,44,Loose,Low (Lethargic),None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
56,36.3,33,11,0.0,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
45,37.0,56,17,-4.4,43,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
33,36.7,45,19,-2.0,21,Loose,Low (Lethargic),None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
14,36.5,28,5,-0.3,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.6,37,12,-0.8,77,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
44,37.0,37,10,-0.4,94,Normal,Moderate,Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
58,35.8,29,11,-0.7,84,Normal,Moderate,Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
43,40.4,36,22,-2.2,51,Loose,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
57,35.9,25,12,0.4,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,39.0,51,17,-1.4,46,Normal,Low (Lethargic),Mild,Moist,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
58,36.8,50,16,-4.5,46,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
42,36.8,33,12,0.8,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
19,36.4,27,10,1.0,99,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
51,36.8,34,5,-0.4,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,36.4,34,8,-0.9,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
33,36.0,27,5,0.7,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,36.6,35,7,-0.1,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,37.5,46,17,-2.7,29,Constipated,Low (Lethargic),None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
48,38.0,57,14,-4.4,44,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
50,36.0,25,11,0.6,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
54,36.6,28,10,0.7,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
31,36.7,27,9,0.1,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
28,39.6,52,19,-1.8,49,Loose,Low (Lethargic),Mild,Dry,Pale,Stiff,Infection,Bacterial/Viral Infection
52,36.2,43,14,-0.8,42,Loose,Low (Lethargic),Mild,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
4,36.0,35,17,-1.7,25,Loose,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
40,36.0,35,7,0.6,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.6,27,6,-0.8,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
49,38.8,58,28,-1.4,59,Normal,Low (Lethargic),Mild,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
39,36.3,27,12,1.0,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
28,36.2,27,11,0.2,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
5,36.6,35,12,0.4,85,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,39.1,37,28,-2.7,37,Normal,Low (Lethargic),None,Dry,Pale,Stiff,Infection,Bacterial/Viral Infection
28,35.9,31,12,-2.3,23,Constipated,Moderate,Mild,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
52,36.5,34,7,-0.1,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.0,31,12,-0.6,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,36.3,26,8,-0.7,79,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
19,36.7,35,9,0.5,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,36.5,35,9,0.2,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,36.5,31,12,0.9,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,37.2,49,9,-1.9,39,Constipated,High,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
2,36.2,35,8,0.4,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,36.3,33,7,-1.0,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,36.6,33,8,-0.2,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,36.3,33,11,0.7,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
12,36.0,35,11,0.1,97,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.0,35,12,0.4,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
39,36.5,32,14,-1.6,31,Constipated,Moderate,Mild,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
41,36.2,27,8,-0.0,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
5,35.8,37,13,-0.7,26,Constipated,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
46,35.8,35,8,0.5,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
51,37.5,54,24,-4.7,42,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
20,36.3,34,8,-0.2,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
6,39.9,54,30,-2.5,41,Normal,Low (Lethargic),None,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
12,36.1,25,9,-0.3,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,36.0,26,5,-0.9,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
22,37.0,49,14,-3.2,46,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
34,36.1,31,8,0.0,87,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,38.0,47,16,-3.6,49,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
48,36.1,32,6,0.8,91,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,35.6,27,7,-1.8,91,Normal,Low (Lethargic),Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
55,36.8,45,15,-0.5,44,Loose,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
40,36.7,31,8,-0.2,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
16,36.2,32,6,0.7,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,37.4,41,12,-0.1,45,Loose,Low (Lethargic),None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
22,36.2,28,12,0.1,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.5,34,11,0.1,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.1,25,9,0.3,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,36.2,33,12,-0.5,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
19,38.9,38,29,-1.1,46,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Infection,Bacterial/Viral Infection
49,37.4,44,9,-0.2,37,Loose,Moderate,Mild,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
58,36.1,35,6,-0.4,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
29,36.6,26,11,-0.3,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
48,36.4,40,7,-0.3,88,Normal,Low (Lethargic),Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
27,35.6,37,20,-2.3,19,Constipated,High,Mild,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
15,36.2,25,9,0.6,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,36.1,26,6,0.2,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
42,36.8,32,6,-0.4,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,36.2,35,7,-0.4,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.0,33,10,-1.0,81,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
8,36.2,35,5,-0.5,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
